,Video-title,video_url,downloaded_time
0,scene_9312531_squirt_n_spin_the_slut_who_fucked_my_wife,https://site-ma.brazzers.com/scene/9312531/squirt-n-spin-the-slut-who-fucked-my-wife,2023-09-10 16:36:03.816187
1,scene_9383411_babysit_on_my_face,https://site-ma.brazzers.com/scene/9383411/babysit-on-my-face,2023-10-11 09:38:52.270038
